time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.560000000000001,1.71539997718,0.141248869327,0.0,5.86110009617,4.9529350811,0.0,1.2027419136,0.56334643841,-14.1247788016,-4.89711778858,0.583713920129,0.0,714.362027469,569.068810023,137.441933515,70.7280786679,1,-57.2215056818
1.560000000000001,1.67138257244,0.130815373285,0.0,5.86700649287,4.98521648189,0.0,1.18459658013,0.529055009629,-14.1121083353,-4.90567201582,0.764378996776,0.0,713.493443726,570.872376284,136.576651606,69.5291730048,2,-57.1732970195
1.560000000000001,1.46123255471,0.286671077723,0.0,2.87297190763,0.0560796364596,0.0,0.762305185856,1.00991452285,-15.5269841845,-20.0354809856,-2.9854898154,0.0,571.887743395,279.102702373,624.39834685,26.4322339977,3,-57.5001485821
1.3800000000000008,-0.5972729313,5.00584765887,0.0,5.85857595317,2.78049142904,0.0,-0.797031437514,8.94519630151,-17.2515467471,-27.8959245163,20.0639213612,0.0,439.509487527,700.887692856,866.151695944,42.560791293,4,-50.9913797682
1.620000000000001,-0.00571587449892,-11.203719148,0.0,0.338907017873,3.90673027279,0.0,-1.17173946899,-15.1844742299,-12.6529009445,-28.6556791424,23.3595269189,0.0,453.449835559,851.147389857,892.95242374,36.2031932022,5,-58.9307664974
1.5000000000000009,-0.913338327857,2.31582707995,0.0,5.38077610443,3.54124858411,0.0,-1.37883650958,1.43441322174,-18.881633192,-27.8388556711,15.1910787684,0.0,743.392050349,839.582764811,854.699549829,96.2275094258,6,-53.7304001746
2.1600000000000015,5.62604073467,4.59923657005,0.0,3.45944147237,0.895238697977,0.0,4.81752843406,2.4070659374,-12.2475671934,-28.8270235912,4.49079535979,0.0,890.044860937,899.366007613,899.951864631,-0.303399056915,7,-76.8574441315
1.620000000000001,-4.51750492465,2.37099658777,0.0,0.621674340023,1.24083200975,0.0,-4.59900723149,4.01835929859,-17.5597385331,-27.7477029589,13.111483394,0.0,882.49874278,879.235441903,870.744354505,131.198061601,8,-58.6150680729
1.3800000000000008,-5.21338382769,1.10243274822,0.0,1.57346702056,2.34095533665,0.0,-7.65269422992,-0.575001692552,-14.0004176496,-27.1514552477,16.2717534906,0.0,842.238301402,896.235415364,879.702271933,222.453738225,9,-51.57587601
1.680000000000001,-12.0385230231,0.0010446247369,0.0,4.20536827554,3.97839569924,0.0,-11.0736436611,1.63447559246,-5.98217575247,-3.90561775655,4.12650240527,0.0,899.556046497,899.478170968,842.806367649,894.959600235,10,-61.8446696681
1.680000000000001,-6.23739793983,0.468911440867,0.0,6.09003204184,2.80859877823,0.0,-7.84832167408,4.93450494864,-14.0799346498,28.8019133463,9.40193258223,0.0,878.827376599,898.094413983,14.4707479899,900.254500303,11,-60.5910008342
3.6000000000000028,-61.0237869486,33.065758863,0.0,4.64017117015,4.19185324723,0.0,-4.3584472262,8.28302034407,-20.0448955106,28.8409323484,1.00517645287,0.0,899.039562761,900.094811366,0.549674849304,900.020648731,12,-89.4332511718
1.5000000000000009,-1.84705157853,-2.58905780669,0.0,3.68355507521,3.41628383903,0.0,-2.29576520472,-2.83436534092,-12.8915547474,-8.30266167134,28.0239433088,0.0,164.467352434,899.685356687,884.916689618,875.729277463,13,-55.674417297
1.8600000000000012,-7.80414412422,1.63710662467,0.0,2.2316672085,5.85818142684,0.0,1.57420295401,0.493143258701,-12.8515247705,28.847283284,4.87150160232,0.0,899.896685793,900.530698934,-0.380339628387,900.443593161,14,-66.2856384769
1.3800000000000008,2.78592379993,-3.07742111999,0.0,3.56651241565,0.777268776495,0.0,4.40525638097,-4.70410737281,-15.9901205405,-8.36791029627,12.102779668,0.0,898.573919681,900.240700566,898.990998046,900.18489635,15,-51.1601468814
2.0400000000000014,12.783219218,9.16088788695,0.0,3.85457109684,1.02019857308,0.0,8.63582252568,8.31213197603,-14.0188917492,28.8402633756,2.21092951109,0.0,899.440768845,899.412233003,-0.897792776115,900.39954364,16,-70.7320863275
1.3200000000000007,0.887459995066,-0.345114010516,0.0,1.30573676909,1.27604940526,0.0,1.87307698378,2.50479549402,-14.0659275259,-2.22082294181,11.0406537309,0.0,895.748936299,899.684001839,886.324442536,899.519864918,17,-49.0123739778
1.2600000000000007,-2.81149063836,0.662160387945,0.0,3.75799708213,6.18758040008,0.0,-2.01865811201,0.585306587228,-16.741057194,-12.8110418619,18.9515751831,0.0,82.6893962597,884.497049848,744.513691786,2.28947387093,18,-47.8327769412
1.5000000000000009,-4.2529598265,2.71076127799,0.0,6.08490538372,3.7088313162,0.0,-4.64155651467,2.97876880173,-14.1965137016,-19.9704735942,16.13067635,0.0,900.302644318,899.986905179,84.2219983399,5.10940773722,19,-54.3580203821
1.3800000000000008,1.17277878978,-3.31847892109,0.0,3.04609425192,2.18464968611,0.0,0.641772163825,-4.3135487776,-16.2518372366,-8.12746004977,28.7934979965,0.0,4.10540425928,900.575848107,899.716604587,898.682459983,20,-51.1076464113
1.3200000000000007,-2.80386458584,-0.0877583994658,0.0,2.93106068977,2.27901670613,0.0,-3.51836390662,-1.11373108052,-16.0010024824,-22.9599538685,27.3872641232,0.0,2.57485709257,900.214532835,900.440441261,725.60825831,21,-49.3060357866
1.560000000000001,1.8754936998,-2.37798982115,0.0,3.37680190237,1.74763640165,0.0,2.37881650162,-2.5403116514,-13.9315832846,-6.19815424242,28.8269515014,0.0,1.32152730095,899.714414177,900.182087121,900.429659212,22,-58.0298464015
